Sample#,Planet_Mass,Epsilon,Alpha,Stokes,Aspect_Ratio,SigmaSlope,Dust_gap_1,Gas_gap_1,Dust_depth_1,Gas_depth_1,Dust_gap_2,Dust_depth_2,#_DG,#_GG,
196,986,0.00035,0.0348,0.000962,0.0761,0.0343,1.45,0.504,0.435,9.89E-10,3.93E-07,0.349,9.41E-10,2,1
197,987,9.44E-05,0.0367,0.00405,0.0415,0.0845,0.615,0,0,0,0,0,0,0,0
198,988,0.000166,0.0369,0.00841,0.083,0.0255,1.11,0.742,0.23,1.49E-19,1.46E-05,0,0,1,1
199,989,0.000216,0.0116,0.00745,0.00368,0.0254,1.25,0.439,0.262,2.44E-09,7.00E-06,0,0,1,1
200,990,8.41E-05,0.0944,0.00417,0.00566,0.0432,0.966,0.595,0,4.23E-07,0,0,0,1,0
201,991,0.000232,0.0416,0.00211,0.0324,0.079,0.709,0.718,0,8.76E-08,0,0,0,1,0
202,992,0.000123,0.0176,0.00644,0.0678,0.0763,0.945,0,0,0,0,0,0,0,0
203,993,0.000265,0.0194,0.00406,0.0399,0.0627,1.33,0.705,0,4.87E-13,0,0,0,1,0
204,994,0.000235,0.0993,0.00679,0.064,0.0697,1.44,0.673,0,2.74E-07,0,0,0,1,0
205,995,0.000344,0.0337,0.00912,0.0383,0.0743,0.629,0.135,0,1.84E-07,0,0,0,1,0
206,996,0.000136,0.0102,0.00739,0.0427,0.087,0.722,0,0,0,0,0,0,0,0
207,997,0.000201,0.04,0.000896,0.0863,0.0667,1,0.911,0.353,1.64E-37,3.47E-05,0,0,1,1
208,998,0.000334,0.0789,0.00197,0.0544,0.0675,0.75,0.923,0.373,2.49E-22,3.15E-05,0,0,1,1
209,999,0.000257,0.0135,0.000154,0.0553,0.0877,0.86,1.05,0.357,5.86E-64,3.91E-05,0,0,1,1
210,750,0.000255,0.0495,0.00528,0.00261,0.0284,0.57,0.496,0.295,5.61E-09,4.84E-06,0,0,1,1
211,751,0.000138,0.07,0.00279,0.0233,0.05,1.34,0.722,0,6.97E-12,0,0,0,1,0
212,752,8.01E-05,0.016,0.00148,0.0771,0.0307,0.526,0.767,0.193,1.67E-42,1.92E-05,0,0,1,1
213,753,0.000266,0.0919,0.00544,0.0156,0.0893,0.776,0.078,0,1.74E-06,0,0,0,1,0
214,754,0.000212,0.0544,0.000913,0.0647,0.0274,0.594,0.476,0.345,1.77E-09,2.64E-07,0.324,1.32E-09,2,1
215,755,0.00016,0.0868,0.00215,0.0964,0.0744,1.43,0.685,0,2.22E-06,0,0,0,1,0
216,756,0.000273,0.0259,0.00424,0.0898,0.0337,1.07,0.82,0.312,1.45E-30,8.17E-06,0,0,1,1
217,757,0.00014,0.0796,0.00731,0.075,0.0404,0.935,0.734,0.103,4.03E-17,4.72E-05,0,0,1,1
218,758,0.000177,0.0587,0.00861,0.034,0.095,1.32,0,0,0,0,0,0,0,0
219,759,6.59E-05,0.0682,0.00593,0.0115,0.0362,0.581,0.656,0,3.76E-08,0,0,0,1,0
220,760,0.000107,0.0991,0.000129,0.0808,0.0665,0.801,0.824,0.496,5.88E-09,3.08E-05,0.021,3.01E-06,2,1
221,761,0.000298,0.0497,0.00863,0.00805,0.0602,0.684,0.365,0,1.79E-07,0,0,0,1,0
222,762,0.000226,0.0637,0.00312,0.0064,0.0979,1.15,0,0,0,0,0,0,0,0
223,763,0.000204,0.0548,0.00564,0.0675,0.04,0.879,0.783,0.234,1.32E-21,3.13E-05,0,0,1,1
224,764,0.00016,0.0981,0.00953,0.0578,0.0437,0.755,0.714,0,1.77E-10,0,0,0,1,0
225,765,0.000275,0.0178,0.00866,0.0776,0.0826,1.22,0,0,0,0,0,0,0,0
226,766,0.000322,0.0617,0.0078,0.0599,0.0638,1.11,0.746,0,3.28E-08,0,0,0,1,0
227,767,6.45E-05,0.055,0.00788,0.01,0.0892,0.505,0,0,0,0,0,0,0,0
228,768,0.00018,0.0949,0.00875,0.06,0.0812,0.654,0,0,0,0,0,0,0,0
229,769,0.000327,0.0474,0.00962,0.0487,0.0687,1.02,0.693,0,1.65E-08,0,0,0,1,0
230,770,0.000314,0.0209,0.0021,0.0728,0.0866,0.7,0.808,0,9.10E-08,0,0,0,1,0
231,771,0.000337,0.0734,0.00128,0.0564,0.0388,1.35,0.558,0.418,5.81E-09,2.11E-06,0.34,6.55E-09,2,1
232,772,0.000244,0.0214,0.0083,0.0424,0.0746,0.657,0.086,0,2.16E-07,0,0,0,1,0
233,773,0.000191,0.0373,0.00114,0.0281,0.0291,0.856,0.476,0.312,6.18E-09,1.07E-06,0.238,5.91E-09,2,1
234,774,0.000273,0.0483,0.00261,0.0253,0.0991,1.18,0.025,0,2.09E-06,0,0,0,1,0
235,100,0.000182,0.0266,0.00538,0.0608,0.0788,0.611,0,0,0,0,0,0,0,0
236,101,0.000103,0.0451,0.00901,0.0991,0.0571,0.636,0.041,0,1.82E-06,0,0,0,1,0
237,102,0.000126,0.0637,0.00477,0.0659,0.0832,0.902,0,0,0,0,0,0,0,0
238,103,0.000154,0.0109,0.00666,0.0304,0.0479,0.644,0.705,0,8.53E-12,0,0,0,1,0
239,104,0.000252,0.0823,0.00653,0.0022,0.0405,0.546,0.619,0.242,2.05E-07,2.97E-05,0,0,1,1
240,105,2.55E-05,0.0896,0.00505,0.0784,0.0327,1.32,0.636,0,1.35E-07,0,0,0,1,0
241,106,0.000135,0.0786,0.00393,0.0895,0.0923,1.14,0,0,0,0,0,0,0,0
242,107,0.000124,0.0709,0.00936,0.0651,0.0655,1.41,0.012,0,3.47E-06,0,0,0,1,0
243,108,0.00022,0.0529,0.00196,0.0088,0.0652,1.32,0.767,0,7.45E-12,0,0,0,1,0
244,109,0.000223,0.053,0.00963,0.0873,0.032,1.19,0.759,0.246,2.41E-18,2.36E-05,0,0,1,1
245,110,0.000325,0.0631,0.00598,0.0255,0.0321,0.521,0.787,0.324,1.59E-14,6.71E-06,0,0,1,1
246,111,0.000105,0.0127,0.00684,0.0276,0.0535,1.04,0.078,0,8.20E-08,0,0,0,1,0
247,112,0.000144,0.044,0.00113,0.0807,0.0576,1.15,0.861,0.267,2.29E-30,3.85E-05,0,0,1,1
248,113,5.07E-05,0.0803,0.0056,0.0571,0.0402,0.795,0.652,0,3.11E-08,0,0,0,1,0
249,114,8.46E-05,0.015,0.00285,0.0643,0.0512,0.712,0.71,0,2.11E-11,0,0,0,1,0
250,115,0.000185,0.034,0.00156,0.0857,0.0469,1.25,0.857,0.295,3.32E-45,2.18E-05,0,0,1,1
251,116,0.000351,0.0217,0.00415,0.0812,0.0903,0.6,0,0,0,0,0,0,0,0
252,117,0.000148,0.0459,0.00451,0.0788,0.0426,0.976,0.775,0.18,1.44E-24,4.09E-05,0,0,1,1
253,118,0.00029,0.0914,0.0092,0.0619,0.0828,0.53,0.082,0,1.40E-06,0,0,0,1,0
254,119,0.00021,0.0349,0.00249,0.0217,0.0525,1.23,0.8,0.234,1.96E-14,3.71E-05,0,0,1,1
255,120,0.000278,0.0982,0.0054,0.0973,0.0514,0.723,0.837,0.328,4.19E-27,3.07E-05,0,0,1,1
256,121,0.000159,0.0155,0.00628,0.0387,0.0361,0.504,0.734,0.18,1.11E-14,3.77E-05,0,0,1,1
257,122,6.92E-05,0.045,0.00207,0.0434,0.098,0.76,0,0,0,0,0,0,0,0
258,123,0.000102,0.0535,0.00295,0.0416,0.088,0.596,0,0,0,0,0,0,0,0
259,124,0.000261,0.0269,0.00164,0.0741,0.0678,1.31,0.87,0.287,3.54E-29,3.95E-05,0,0,1,1
260,25,0.000126,0.0492,0.00776,0.0505,0.0387,0.996,0.714,0,5.74E-13,0,0,0,1,0
261,26,0.000269,0.0602,0.0011,0.0382,0.0734,1.05,0.804,0.316,1.90E-14,3.92E-05,0.025,1.75E-06,2,1
262,27,0.000128,0.0346,0.00826,0.075,0.0413,0.524,0.718,0,5.30E-15,0,0,0,1,0
263,28,0.000145,0.0753,0.000739,0.00896,0.0839,0.806,0.049,0,3.07E-06,0,0,0,1,0
264,29,7.40E-05,0.0253,0.00699,0.0321,0.0487,0.903,0.066,0,1.59E-07,0,0,0,1,0
265,30,5.89E-05,0.0626,0.00801,0.0448,0.0523,0.647,0.041,0,1.79E-06,0,0,0,1,0
266,31,6.73E-05,0.0867,0.00175,0.0688,0.0787,0.861,0,0,0,0,0,0,0,0
267,32,0.000348,0.0901,0.00122,0.0036,0.0259,1.16,0.615,0.455,4.64E-10,2.04E-08,0,0,1,1
268,33,0.000278,0.0561,0.00193,0.0517,0.0803,0.915,0.874,0,9.08E-08,0,0,0,1,0
269,34,9.50E-05,0.0187,0.0052,0.0359,0.072,0.696,0,0,0,0,0,0,0,0
270,35,3.84E-05,0.0364,0.00133,0.0557,0.0552,0.984,0,0,0,0,0,0,0,0
271,36,3.42E-05,0.0761,0.00588,0.0147,0.051,0.889,0,0,0,0,0,0,0,0
272,37,0.000351,0.0565,0.00571,0.0821,0.0528,1.26,0.824,0.316,3.13E-26,3.03E-05,0,0,1,1
273,38,0.000292,0.088,0.00592,0.00715,0.0562,0.92,0.701,0.131,2.23E-08,4.69E-05,0,0,1,1
274,39,0.000104,0.0145,0.00682,0.0364,0.0943,0.796,0,0,0,0,0,0,0,0
275,40,0.000218,0.0283,0.000558,0.0232,0.0462,0.69,0.87,0.324,8.50E-21,7.98E-06,0,0,1,1
276,41,0.000141,0.046,0.00643,0.018,0.0967,1.35,0,0,0,0,0,0,0,0
277,42,0.000172,0.0605,0.00617,0.0837,0.0311,1.28,0.767,0.238,7.96E-22,2.07E-05,0,0,1,1
278,43,0.00031,0.0289,0.00135,0.0189,0.041,1.28,0.857,0.361,1.38E-16,4.46E-06,0,0,1,1
279,44,0.000329,0.0976,0.00797,0.0491,0.0767,0.952,0.669,0,2.17E-07,0,0,0,1,0
280,45,0.000122,0.0188,0.00934,0.0596,0.0618,0.791,0.045,0,6.24E-07,0,0,0,1,0
281,46,0.000148,0.058,0.00857,0.0679,0.0541,1.27,0.669,0,3.05E-08,0,0,0,1,0
282,47,7.99E-05,0.0793,0.0042,0.0796,0.079,0.61,0,0,0,0,0,0,0,0
283,48,0.00023,0.0898,0.0044,0.0133,0.0273,1.02,0.66,0.287,8.70E-12,3.65E-06,0,0,1,1
284,49,0.000349,0.07,0.00977,0.0215,0.0881,0.545,0.098,0,7.02E-07,0,0,0,1,0
285,625,0.000226,0.0712,0.00955,0.0701,0.0995,1.32,0,0,0,0,0,0,0,0
286,626,0.00032,0.0967,0.00766,0.0584,0.075,1.26,0.685,0,1.92E-07,0,0,0,1,0
287,627,0.000131,0.0902,0.00988,0.0468,0.0716,1,0.021,0,4.19E-06,0,0,0,1,0
288,628,0.000227,0.0219,0.00151,0.0684,0.0508,1.29,0.878,0.308,5.37E-39,2.20E-05,0,0,1,1
289,629,0.000139,0.0899,0.00031,0.00937,0.0971,0.637,0,0,0,0,0,0,0,0
290,630,0.000331,0.0428,0.00576,0.0613,0.0919,1.43,0,0,0,0,0,0,0,0
291,631,0.000188,0.0889,0.00264,0.0392,0.0395,1.41,0.808,0.271,2.19E-20,1.90E-05,0,0,1,1
292,632,8.49E-05,0.0341,0.00738,0.0511,0.0908,1.42,0,0,0,0,0,0,0,0
293,633,0.000271,0.049,0.00526,0.0601,0.0445,0.554,0.804,0.271,1.01E-21,2.90E-05,0,0,1,1
294,634,0.000214,0.0572,0.00616,0.0829,0.0399,0.967,0.788,0.242,1.58E-23,3.09E-05,0,0,1,1
295,635,0.000269,0.0777,0.00985,0.0368,0.0805,1.34,0.078,0,1.02E-06,0,0,0,1,0
296,636,0.00024,0.0916,0.00673,0.0892,0.0353,0.549,0.792,0.283,4.00E-24,1.96E-05,0,0,1,1
297,637,3.14E-05,0.0755,0.000508,0.0655,0.043,0.941,0.734,0,2.63E-08,0,0,0,1,0
298,638,0.000316,0.0457,0.00481,0.094,0.0417,0.753,0.849,0.34,1.89E-33,1.63E-05,0,0,1,1
299,639,0.000238,0.0593,0.00115,0.0161,0.0297,1.15,0.427,0.34,7.99E-09,5.82E-07,0.246,8.27E-09,2,1
300,640,0.000103,0.0403,0.00455,0.0344,0.0954,1.41,0,0,0,0,0,0,0,0
301,641,0.000348,0.0133,0.00425,0.0939,0.0811,0.532,0.738,0,4.33E-08,0,0,0,1,0
302,642,0.00027,0.0937,0.000929,0.0943,0.0952,0.897,0.89,0.283,6.98E-07,3.94E-05,0,0,1,1
303,643,0.000237,0.0571,0.00325,0.0444,0.0593,1.44,0.705,0.176,5.93E-12,4.46E-05,0,0,1,1
304,644,7.37E-05,0.0862,0.00976,0.0329,0.0789,0.67,0,0,0,0,0,0,0,0
305,645,8.74E-05,0.0955,0.00155,0.0816,0.0546,1.5,0.796,0,8.04E-08,0,0,0,1,0
306,646,5.02E-05,0.0919,0.0082,0.0657,0.0298,0.51,0.673,0,2.10E-11,0,0,0,1,0
307,647,0.000125,0.0286,0.00219,0.0491,0.0378,1.32,0.779,0.213,6.90E-25,2.68E-05,0,0,1,1
308,648,0.000295,0.0817,0.00784,0.0436,0.0476,0.542,0.771,0.226,6.60E-15,3.92E-05,0,0,1,1
309,649,0.000144,0.0904,0.00725,0.0767,0.0597,1.19,0.632,0,4.92E-07,0,0,0,1,0
310,700,0.000327,0.0412,0.00491,0.0353,0.0331,1.3,0.8,0.336,4.46E-17,5.79E-06,0,0,1,1
311,701,0.000352,0.0983,0.00444,0.0937,0.0282,1.05,0.558,0.406,3.66E-09,1.03E-06,0.291,4.02E-09,2,1
312,702,0.000333,0.0533,0.00418,0.0484,0.0868,1.41,0.078,0,8.45E-07,0,0,0,1,0
313,703,4.29E-05,0.0811,0.00576,0.0742,0.0882,0.84,0,0,0,0,0,0,0,0
314,704,0.000151,0.0295,0.00508,0.0516,0.0507,0.988,0.738,0,2.70E-16,0,0,0,1,0
315,705,0.000273,0.094,0.00227,0.0759,0.0345,1.28,0.865,0.369,1.17E-09,3.54E-06,0,0,1,1
316,706,0.00024,0.0154,0.00807,0.0434,0.0317,0.911,0.751,0.254,1.43E-15,1.84E-05,0,0,1,1
317,707,0.000313,0.035,0.00892,0.0947,0.0815,1.05,0.029,0,1.67E-06,0,0,0,1,0
318,708,0.000219,0.0611,0.00144,0.0924,0.0459,1.43,0.882,0.365,6.08E-50,1.31E-05,0,0,1,1
319,709,0.000102,0.0392,0.00868,0.045,0.0266,0.591,0.701,0.152,2.13E-12,3.68E-05,0,0,1,1
320,710,0.000354,0.0908,0.00153,0.0114,0.0658,0.695,0.886,0.349,1.24E-11,2.86E-05,0,0,1,1
321,711,0.000245,0.0156,0.00984,0.0166,0.0722,1.21,0.09,0,2.15E-07,0,0,0,1,0
322,712,0.000171,0.0952,0.00209,0.0308,0.0907,1.15,0,0,0,0,0,0,0,0
323,713,0.000224,0.0673,0.00247,0.0178,0.0468,1.2,0.8,0.271,4.30E-14,2.53E-05,0,0,1,1
324,714,0.000277,0.0969,0.0027,0.0975,0.0474,1.23,0.878,0.414,1.48E-42,1.55E-05,0,0,1,1
325,715,0.000183,0.0197,0.000137,0.067,0.0518,1.14,0.012,0.332,2.09E-06,7.56E-06,0.107,7.85E-07,3,1
326,716,0.00034,0.0884,0.00622,0.0714,0.0303,0.589,0.824,0.349,4.05E-20,4.03E-06,0,0,1,1
327,717,0.00013,0.0258,0.00236,0.076,0.0554,1.29,0.751,0,3.30E-14,0,0,0,1,0
328,718,0.000229,0.043,0.00484,0.0449,0.0656,0.813,0.726,0,3.96E-08,0,0,0,1,0
329,719,0.000288,0.0231,0.00543,0.0894,0.0645,0.555,0.701,0,3.38E-10,0,0,0,1,0
330,720,0.000254,0.0687,0.0017,0.0243,0.0942,1.11,0.057,0,1.93E-06,0,0,0,1,0
331,721,0.000221,0.0532,0.00331,0.0859,0.0493,1.07,0.829,0.287,1.77E-31,3.02E-05,0,0,1,1
332,722,0.000259,0.0552,0.00166,0.0327,0.0352,0.73,0.845,0.34,1.18E-13,3.23E-06,0,0,1,1
333,723,0.000147,0.0193,0.00894,0.0363,0.0481,1.44,0.669,0,2.95E-10,0,0,0,1,0
334,724,0.000285,0.0363,0.00562,0.0791,0.0729,1.31,0.71,0,6.23E-08,0,0,0,1,0
335,1050,0.000297,0.0145,0.00472,0.0239,0.0841,1.01,0.086,0,1.52E-07,0,0,0,1,0
336,1051,0.000355,0.0438,0.00312,0.0986,0.0917,1.11,0,0,0,0,0,0,0,0
337,1052,0.000355,0.0496,0.0092,0.068,0.0272,0.59,0.8,0.336,4.53E-18,3.74E-06,0,0,1,1
338,1053,0.000122,0.0117,0.00972,0.0155,0.0277,0.938,0.677,0.16,5.97E-10,3.72E-05,0,0,1,1
339,1054,8.63E-05,0.0482,0.00596,0.0687,0.0296,1.46,0.714,0.139,5.22E-17,4.09E-05,0,0,1,1
340,1055,0.000336,0.0665,0.00659,0.0443,0.0669,1.49,0.746,0,9.31E-08,0,0,0,1,0
341,1056,0.000205,0.057,0.00578,0.0521,0.0638,0.544,0.71,0,5.77E-09,0,0,0,1,0
342,1057,0.000237,0.0377,0.00552,0.0266,0.0842,1.04,0.062,0,6.76E-07,0,0,0,1,0
343,1058,0.000282,0.0476,0.00577,0.0267,0.0341,1.19,0.767,0.295,5.05E-14,1.24E-05,0,0,1,1
344,1059,0.000358,0.0397,0.00458,0.0507,0.0355,0.995,0.833,0.361,2.55E-21,6.20E-06,0,0,1,1
345,1060,8.18E-05,0.0838,0.00234,0.0031,0.0441,0.711,0.459,0,1.96E-07,0,0,0,1,0
346,1061,0.000117,0.0419,0.00136,0.00145,0.036,1.15,0.369,0.217,2.23E-08,1.87E-05,0,0,1,1
347,1062,7.34E-05,0.0992,0.00542,0.0743,0.0293,0.864,0.718,0.135,3.63E-18,4.11E-05,0,0,1,1
348,1063,6.61E-05,0.0913,0.00581,0.0716,0.0268,0.943,0.705,0.127,1.13E-16,4.07E-05,0,0,1,1
349,1064,0.000358,0.0956,0.00258,0.0325,0.0719,0.99,0.841,0.295,1.56E-13,4.02E-05,0,0,1,1
350,1065,0.000101,0.0619,0.000335,0.0278,0.0737,0.965,0.804,0,4.38E-07,0,0,0,1,0
351,1066,8.43E-05,0.0721,0.00208,0.0125,0.0837,1.38,0,0,0,0,0,0,0,0
352,1067,0.000178,0.0148,0.00632,0.0502,0.0666,1.16,0.07,0,1.86E-07,0,0,0,1,0
353,1068,0.000236,0.0137,0.00139,0.0903,0.0365,1.25,0.861,0.324,1.08E-50,4.46E-06,0,0,1,1
354,1069,3.09E-05,0.0679,0.00534,0.074,0.0348,0.96,0.632,0,1.03E-07,0,0,0,1,0
355,1070,7.51E-05,0.084,0.000855,0.0664,0.0927,1.36,0,0,0,0,0,0,0,0
356,1071,0.000214,0.0686,0.00599,0.00921,0.0582,1.32,0.652,0,1.88E-07,0,0,0,1,0
357,1072,0.000201,0.0853,0.00723,0.0312,0.0335,1,0.742,0.234,1.28E-12,2.50E-05,0,0,1,1
358,1073,0.000229,0.0436,0.00457,0.0755,0.0591,1.27,0.796,0,3.63E-14,0,0,0,1,0
359,1074,0.000275,0.0412,0.00141,0.00129,0.0739,0.567,0.669,0,1.26E-07,0,0,0,1,0
360,0,0.000239,0.0394,0.00104,0.0549,0.0974,0.838,0,0,0,0,0,0,0,0
361,1,0.000143,0.0912,0.00529,0.0803,0.0788,0.974,0,0,0,0,0,0,0,0
362,2,0.000335,0.0692,0.00169,0.0406,0.0757,1.39,0.771,0.316,7.01E-11,3.95E-05,0,0,1,1
363,3,0.000217,0.0613,0.00872,0.0555,0.067,0.767,0.103,0,3.98E-07,0,0,0,1,0
364,4,4.32E-05,0.0123,0.00835,0.0887,0.0275,0.953,0.669,0,6.57E-13,0,0,0,1,0
365,5,0.000283,0.0362,0.00692,0.0967,0.0886,1.24,0,0,0,0,0,0,0,0
366,6,0.000161,0.0926,0.00392,0.0921,0.0825,0.556,0,0,0,0,0,0,0,0
367,7,0.000255,0.054,0.00891,0.0251,0.0823,1.11,0.07,0,7.94E-07,0,0,0,1,0
368,8,0.000194,0.0788,0.00822,0.0537,0.0915,1.24,0,0,0,0,0,0,0,0
369,9,0.000219,0.0906,0.00962,0.082,0.0867,0.991,0,0,0,0,0,0,0,0
370,10,0.000343,0.048,0.00563,0.0246,0.0897,1.13,0.086,0,5.25E-07,0,0,0,1,0
371,11,4.26E-05,0.0776,0.00382,0.0963,0.0315,1.38,0.705,0,8.20E-20,0,0,0,1,0
372,12,0.000214,0.0554,0.00794,0.0397,0.0498,0.625,0.73,0,3.01E-12,0,0,0,1,0
373,13,0.00019,0.0964,0.000294,0.0508,0.0477,0.534,0.874,0.349,7.59E-09,6.95E-06,0,0,1,1
374,14,0.00021,0.0771,0.00708,0.0734,0.0889,0.537,0,0,0,0,0,0,0,0
375,15,0.000235,0.0688,0.00769,0.0389,0.0489,0.73,0.734,0.103,8.49E-13,4.76E-05,0,0,1,1
376,16,0.000305,0.0321,0.00976,0.00772,0.0776,0.954,0.094,0,9.13E-07,0,0,0,1,0
377,17,0.000263,0.0367,0.00654,0.00294,0.0263,0.848,0.476,0.299,4.30E-09,3.91E-06,0,0,1,1
378,18,9.92E-05,0.0434,0.00759,0.0237,0.0896,0.714,0,0,0,0,0,0,0,0
379,19,4.93E-05,0.0517,0.00431,0.0822,0.0289,0.678,0.705,0,1.38E-19,0,0,0,1,0
380,20,0.000356,0.0415,0.00232,0.0439,0.048,1.12,0.882,0.369,1.05E-26,1.24E-05,0,0,1,1
381,21,0.000125,0.0575,0.000517,0.0437,0.0378,0.895,0.82,0.262,3.39E-23,8.20E-06,0,0,1,1
382,22,0.000199,0.0775,0.0076,0.0055,0.0975,0.868,0,0,0,0,0,0,0,0
383,23,0.000137,0.091,0.00626,0.00211,0.0983,0.768,0,0,0,0,0,0,0,0
384,24,0.000326,0.0157,0.00118,0.0751,0.0275,0.595,0.021,0.451,1.18E-06,5.04E-08,0.521,1.53E-10,3,1
385,875,0.000242,0.0173,0.00318,0.0708,0.0922,1.2,0,0,0,0,0,0,0,0
386,876,0.000199,0.0358,0.00283,0.0288,0.07,1.44,0.656,0,9.24E-08,0,0,0,1,0
387,877,9.05E-05,0.0909,0.0081,0.0682,0.0299,0.666,0.71,0.119,7.05E-14,4.51E-05,0,0,1,1
388,878,2.69E-05,0.0562,0.00931,0.025,0.0425,1.47,0,0,0,0,0,0,0,0
389,879,3.62E-05,0.0316,0.00271,0.0923,0.0529,0.932,0,0,0,0,0,0,0,0
